BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
99,568.267,-59.77012,571.4017,96.00427,400,Path16,95,571.3138,10.01478
100,671.2098,59.8014,673.8685,84.90869,463,Path11,85,673.8677,-1.07405
101,653.9658,162.5661,673.8687,76.0401,484,Path11,75,673.7575,12.23197
102,621.0847,261.4437,673.8687,67.17148,1,Path12,65,673.3848,25.53327
103,573.3529,354.07,673.8688,58.30289,22,Path12,60,673.5732,-19.95717
104,511.9116,438.23,673.8687,49.4343,43,Path12,50,673.8358,-6.65324
105,438.23,511.9117,673.8687,40.5657,64,Path12,40,673.8359,6.653185
106,354.0698,573.353,673.8688,31.69708,85,Path12,30,673.5732,19.957
107,261.4436,621.0848,673.8687,22.82849,106,Path12,25,673.3848,-25.53335
108,162.5661,653.9658,673.8687,13.9599,127,Path12,15,673.7575,-12.23208
109,59.80127,671.2098,673.8685,5.091309,148,Path12,5,673.8677,1.073875
110,-59.80149,671.2098,673.8685,354.9087,190,Path3,355,673.8677,-1.074119
111,-162.5662,653.9658,673.8687,346.0401,169,Path3,345,673.7578,12.23187
112,-261.4438,621.0847,673.8688,337.1715,148,Path3,335,673.3849,25.53324
113,-354.07,573.3529,673.8688,328.3029,127,Path3,330,673.5732,-19.95714
114,-438.2301,511.9116,673.8688,319.4343,106,Path3,320,673.8359,-6.653272
115,-511.9116,438.2301,673.8688,310.5657,85,Path3,310,673.8359,6.653272
116,-573.3529,354.07,673.8688,301.6971,64,Path3,300,673.5732,19.95714
117,-621.0847,261.4438,673.8688,292.8285,43,Path3,295,673.3849,-25.53324
118,-653.9658,162.5663,673.8687,283.96,22,Path3,285,673.7578,-12.23188
119,-671.2098,59.80165,673.8687,275.0913,1,Path3,275,673.8677,1.074202
120,-671.2098,-59.80112,673.8685,264.9087,232,Path7,265,673.8677,-1.073716
121,-653.9661,-162.5658,673.8688,256.0401,253,Path7,255,673.7578,12.23239
122,-621.085,-261.4433,673.8688,247.1715,274,Path7,245,673.3849,25.5337
123,-573.3532,-354.0695,673.8688,238.3029,295,Path7,240,673.5732,-19.95659
124,-511.9119,-438.2296,673.8687,229.4343,316,Path7,230,673.8358,-6.652743
125,-438.2304,-511.9112,673.8687,220.5657,337,Path7,220,673.8358,6.653884
126,-354.0705,-573.3526,673.8688,211.6971,358,Path7,210,673.5731,19.95782
127,-261.4443,-621.0845,673.8688,202.8286,379,Path7,205,673.3848,-25.53258
128,-162.5668,-653.9658,673.8688,193.96,400,Path7,195,673.7578,-12.23126
129,-59.80218,-671.2098,673.8687,185.0914,421,Path7,185,673.8678,1.074838
130,59.80059,-671.2101,673.8688,174.9088,379,Path16,175,673.868,-1.073216
131,162.5653,-653.9661,673.8687,166.0402,358,Path16,165,673.7578,12.23287
132,261.4429,-621.0851,673.8688,157.1716,337,Path16,155,673.3848,25.53414
133,354.0692,-573.3535,673.8688,148.303,316,Path16,150,673.5734,-19.95624
134,438.2292,-511.9123,673.8688,139.4344,295,Path16,140,673.8359,-6.652224
135,511.9109,-438.2308,673.8687,130.5658,274,Path16,130,673.8359,6.654185
136,573.3523,-354.071,673.8688,121.6972,253,Path16,120,673.5731,19.95818
137,621.0844,-261.4448,673.8688,112.8286,232,Path16,115,673.385,-25.53226
138,653.9655,-162.5674,673.8687,103.96,211,Path16,105,673.7576,-12.23088
139,671.2098,-59.80271,673.8687,95.09143,190,Path16,95,673.8679,1.075155
140,774.0275,59.82081,776.3356,85.58069,232,Path11,85,776.2958,7.867754
141,757.8293,168.4989,776.3356,77.46454,253,Path11,75,775.6176,33.38323
142,726.4502,273.8015,776.3358,69.34842,274,Path11,70,776.2855,-8.828613
143,680.5187,373.6194,776.3356,61.23227,295,Path11,60,776.1561,16.6955
144,620.955,465.9528,776.3356,53.11615,316,Path11,55,775.916,-25.52106
145,548.952,548.9521,776.3355,45,337,Path11,45,776.3354,-0.0001220703
146,465.9527,620.9551,776.3358,36.88385,358,Path11,35,775.9161,25.52095
147,373.6192,680.5187,776.3356,28.7677,379,Path11,30,776.1561,-16.6956
148,273.8014,726.4502,776.3356,20.65158,400,Path11,20,776.2855,8.828507
149,168.4987,757.8293,776.3356,12.53546,421,Path11,15,775.6176,-33.38341
150,59.82064,774.0275,776.3358,4.419312,442,Path11,5,776.2959,-7.867989
151,-59.82099,774.0275,776.3356,355.5807,484,Path2,355,776.2958,7.867599
